anio,dep_cod,departamento,total_autoridades_electas,n_autoridades_mujeres,n_autoridades_hombres,share_autoridades_mujeres,share_autoridades_hombres,ratio_autoridades_mujer_hombre,share_liderazgo_ejecutivo_mujeres,share_alcaldias_mujeres,share_gobernaciones_mujeres,share_regidurias_mujeres,share_consejerias_mujeres,densidad_liderazgo_femenino,brecha_liderazgo_vs_base_mujeres,indice_techo_politico_mujeres,lat,lon,share_autoridades_mujeres_nat,share_autoridades_hombres_nat,ratio_autoridades_mujer_hombre_nat,share_liderazgo_ejecutivo_mujeres_nat,share_alcaldias_mujeres_nat,share_gobernaciones_mujeres_nat,share_regidurias_mujeres_nat,share_consejerias_mujeres_nat,densidad_liderazgo_femenino_nat,brecha_liderazgo_vs_base_mujeres_nat,indice_techo_politico_mujeres_nat,share_autoridades_mujeres_anom_nat,share_autoridades_hombres_anom_nat,ratio_autoridades_mujer_hombre_anom_nat,share_liderazgo_ejecutivo_mujeres_anom_nat,share_alcaldias_mujeres_anom_nat,share_gobernaciones_mujeres_anom_nat,share_regidurias_mujeres_anom_nat,share_consejerias_mujeres_anom_nat,densidad_liderazgo_femenino_anom_nat,brecha_liderazgo_vs_base_mujeres_anom_nat,indice_techo_politico_mujeres_anom_nat
2015,01,Amazonas,543,135,408,0.24861878453038674,0.7513812154696132,0.33088235294117646,0.047619047619047616,0.047619047619047616,,0.28348214285714285,0.4444444444444444,0.007366482504604052,-0.20099973691133913,0.19153439153439153,-6.231,-77.869,0.24576929048284427,0.7542307095171558,0.32585426101276244,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004191895668374476,-0.2169385376798544,0.11730819886548179,0.002849494047542478,-0.0028494940475425334,0.005028091928414025,0.01878829481605776,0.01878829481605776,,-0.0014032104418744695,0.21451743714517435,0.003174586836229576,0.015938800768515282,0.07422619266890974
2015,03,Apurímac,541,116,425,0.2144177449168207,0.7855822550831792,0.27294117647058824,0.047619047619047616,0.047619047619047616,,0.24887892376681614,0.1111111111111111,0.0073937153419593345,-0.16679869729777308,0.22208538587848933,-13.637,-72.879,0.24576929048284427,0.7542307095171558,0.32585426101276244,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004191895668374476,-0.2169385376798544,0.11730819886548179,-0.03135154556602357,0.031351545566023487,-0.052913084542174194,0.01878829481605776,0.01878829481605776,,-0.03600642953220118,-0.11881589618815896,0.0032018196735848587,0.05013984038208133,0.10477718701300755
2015,04,Arequipa,736,196,540,0.266304347826087,0.7336956521739131,0.362962962962963,0.03669724770642202,0.03669724770642202,,0.3073170731707317,0.2,0.005434782608695652,-0.22960710011966495,0.1378019097547276,-16.398,-71.536,0.24576929048284427,0.7542307095171558,0.32585426101276244,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004191895668374476,-0.2169385376798544,0.11730819886548179,0.020535057343242707,-0.02053505734324268,0.03710870195020055,0.007866494903432164,0.007866494903432164,,0.022431719871714384,-0.02992700729927006,0.0012428869403211763,-0.012668562439810543,0.0204937108892458
2015,05,Ayacucho,756,168,588,0.2222222222222222,0.7777777777777778,0.2857142857142857,0.0,0.0,,0.2640901771336554,0.2857142857142857,0.0,-0.2222222222222222,0.0,-13.163,-74.224,0.24576929048284427,0.7542307095171558,0.32585426101276244,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004191895668374476,-0.2169385376798544,0.11730819886548179,-0.023547068260622056,0.02354706826062203,-0.04013997529847674,-0.028830752802989856,-0.028830752802989856,,-0.020795176165361917,0.05578727841501563,-0.004191895668374476,-0.0052836845423678,-0.11730819886548179
2015,06,Cajamarca,842,181,661,0.21496437054631828,0.7850356294536817,0.27382753403933435,0.015748031496062992,0.015748031496062992,,0.2539454806312769,0.125,0.0023752969121140144,-0.1992163390502553,0.07325879845129855,-7.161,-78.512,0.24576929048284427,0.7542307095171558,0.32585426101276244,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004191895668374476,-0.2169385376798544,0.11730819886548179,-0.030804919936525982,0.0308049199365259,-0.052026726973428084,-0.013082721306926864,-0.013082721306926864,,-0.030939872667740398,-0.10492700729927007,-0.0018165987562604614,0.017722198629599117,-0.04404940041418323
2015,07,Callao,763,161,602,0.21100917431192662,0.7889908256880734,0.26744186046511625,0.008928571428571428,0.008928571428571428,,0.24367088607594936,0.29411764705882354,0.001310615989515072,-0.2020806028833552,0.04231366459627329,-12.05,-77.118,0.24576929048284427,0.7542307095171558,0.32585426101276244,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004191895668374476,-0.2169385376798544,0.11730819886548179,-0.03476011617091765,0.034760116170917676,-0.05841240054764618,-0.019902181374418428,-0.019902181374418428,,-0.04121446722306796,0.06419063975955347,-0.0028812796788594036,0.014857934796499217,-0.07499453426920849
2015,08,Cusco,639,133,506,0.2081377151799687,0.7918622848200313,0.2628458498023715,0.02,0.02,,0.24053030303030304,0.4444444444444444,0.003129890453834116,-0.18813771517996872,0.09609022556390977,-13.532,-71.967,0.24576929048284427,0.7542307095171558,0.32585426101276244,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004191895668374476,-0.2169385376798544,0.11730819886548179,-0.03763157530287556,0.03763157530287553,-0.06300841121039091,-0.008830752802989856,-0.008830752802989856,,-0.04435505026871428,0.21451743714517435,-0.0010620052145403599,0.028800822499885692,-0.02121797330157202
2015,09,Huancavelica,566,126,440,0.2226148409893993,0.7773851590106007,0.2863636363636364,0.060240963855421686,0.060240963855421686,,0.24839400428265523,0.2857142857142857,0.0088339222614841,-0.1623738771339776,0.27060623446165616,-12.786,-74.973,0.24576929048284427,0.7542307095171558,0.32585426101276244,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004191895668374476,-0.2169385376798544,0.11730819886548179,-0.023154449493444973,0.023154449493444917,-0.03949062464912606,0.03141021105243183,0.03141021105243183,,-0.036491349016362085,0.05578727841501563,0.0046420265931096235,0.0545646605458768,0.1532980355961744
2015,10,Huánuco,309,95,214,0.3074433656957929,0.6925566343042071,0.4439252336448598,0.046511627906976744,0.046511627906976744,,0.35294117647058826,0.3333333333333333,0.006472491909385114,-0.2609317377888162,0.15128518971848223,-9.93,-76.242,0.24576929048284427,0.7542307095171558,0.32585426101276244,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004191895668374476,-0.2169385376798544,0.11730819886548179,0.061674075212948626,-0.061674075212948654,0.11807097263209737,0.017680875103986887,0.017680875103986887,,0.06805582317157094,0.10340632603406325,0.002280596241010638,-0.043993200108961766,0.03397699085300045
2015,11,Ica,835,220,615,0.2634730538922156,0.7365269461077845,0.35772357723577236,0.03225806451612903,0.03225806451612903,,0.30515759312320917,0.2727272727272727,0.004790419161676647,-0.23121498937608656,0.1224340175953079,-14.068,-75.729,0.24576929048284427,0.7542307095171558,0.32585426101276244,0.028830752802989856,0.028830752802989856,,0.2848853532990173,0.22992700729927007,0.004191895668374476,-0.2169385376798544,0.11730819886548179,0.017703763409371326,-0.017703763409371298,0.031869316223009925,0.003427311713139175,0.003427311713139175,,0.02027223982419185,0.04280026542800264,0.0005985234933021709,-0.01427645169623215,0.00512581872982612
