periodo,dep_cod,departamento,n_adultos_18_64,peso_total_18_64,tasa_trabaja_horas_hombre,tasa_trabaja_horas_mujer,horas_prom_hombre,horas_prom_mujer,pobreza_hombre,pobreza_mujer,ingreso_neto_hogar_hombre,ingreso_neto_hogar_mujer,tasa_educ_sup_hombre,tasa_educ_sup_mujer,tasa_educ_univ_hombre,tasa_educ_univ_mujer,gap_trabaja_horas_h_m,gap_horas_h_m,gap_pobreza_m_h,gap_ingreso_hogar_h_m,gap_educ_sup_m_h,gap_educ_univ_m_h,ratio_trabajo_m_h,ratio_horas_m_h,ratio_ingreso_hogar_m_h,ratio_pobreza_m_h,ratio_educ_sup_m_h,n_mujeres_18_49,peso_mujeres_18_49,share_mujeres_18_49_con_u6,prom_ninios_u6_hogar_mujer_18_49,share_mujeres_18_49_con_2mas_u6,tasa_trabaja_mujer_no_u6,tasa_trabaja_mujer_si_u6,horas_mujer_no_u6,horas_mujer_si_u6,pobreza_mujer_no_u6,pobreza_mujer_si_u6,ingreso_hogar_mujer_no_u6,ingreso_hogar_mujer_si_u6,penalidad_maternidad_trabajo,penalidad_maternidad_horas,penalidad_maternidad_pobreza,penalidad_maternidad_ingreso,penalidad_maternidad_trabajo_educ_sup,penalidad_maternidad_trabajo_no_educ_sup,mitigacion_penalidad_trabajo_por_educ,penalidad_maternidad_ingreso_educ_sup,penalidad_maternidad_ingreso_no_educ_sup,mitigacion_penalidad_ingreso_por_educ,lat,lon,total_autoridades_electas,n_autoridades_mujeres,n_autoridades_hombres,share_autoridades_mujeres,share_autoridades_hombres,ratio_autoridades_mujer_hombre,share_liderazgo_ejecutivo_mujeres,share_alcaldias_mujeres,share_gobernaciones_mujeres,share_regidurias_mujeres,share_consejerias_mujeres,densidad_liderazgo_femenino,brecha_liderazgo_vs_base_mujeres,indice_techo_politico_mujeres
2008-2024,12,Junín,46179,13763376.448492575,0.8528877476549426,0.753454201205092,43.282200077329435,36.19885752988581,0.19260885824809396,0.19537962670829626,11845.621751636529,11150.17959396048,0.33447073496153823,0.31484307421293484,0.1856204821093056,0.17104360194385856,0.09943354644985058,7.083342547443628,0.0027707684602022997,695.4421576760487,-0.019627660748603393,-0.014576880165447031,0.88341543570857,0.836345136458214,0.9412912068055888,1.0143854674463277,0.9413172553022899,17765,5343847.2259217035,0.4092554219127853,0.5186288303288551,0.09007227824093882,0.7584572099564099,0.7253208002016712,37.50888811877373,34.07525449917619,0.13927351333149338,0.3067016280374971,12159.78221762046,10696.310472337083,-0.03313640975473864,-3.4336336195975434,0.16742811470600374,-1463.4717452833775,-0.017609156782132818,-0.05016856724997265,0.03255941046783983,-406.941786630312,-254.46425354196617,-152.4775330883458,-12.066,-75.204,6132,1722,4410,0.2808219178082192,0.7191780821917808,0.3904761904761905,0.0166270783847981,0.014457831325301205,0.16666666666666666,0.3258382642998028,0.28169014084507044,0.00228310502283105,-0.2641948394234211,0.05920862058976884
2008-2024,13,La Libertad,47346,18835941.818196423,0.8295660101225274,0.661304498506057,45.59174332408997,34.545097644357384,0.24010468718802574,0.246565874967554,14959.792564403355,13899.209470912901,0.3085019258116699,0.30903719567086074,0.16984223993999614,0.1599218515074702,0.1682615116164704,11.046645679732585,0.006461187779528255,1060.5830934904534,0.0005352698591908345,-0.009920388432525934,0.7971692311843658,0.7577051265355824,0.9291044251499785,1.0269098777504018,1.001735061645993,18642,7452797.140614934,0.4329647598709319,0.5576328010108271,0.10441324200699156,0.6852089238417947,0.6344262840743734,35.83013289489765,33.177732041771684,0.19412146119060467,0.3515335268751083,14244.393204993492,14103.336840380867,-0.050782639767421256,-2.652400853125968,0.15741206568450364,-141.05636461262475,-0.029719712364786655,-0.0646331716010351,0.034913459236248445,1598.4147942339732,545.6498641869875,1052.7649300469857,-8.115,-79.029,2918,888,2030,0.30431802604523644,0.6956819739547635,0.4374384236453202,0.04081632653061224,0.03684210526315789,0.16666666666666666,0.3487394957983193,0.25,0.0054832076764907475,-0.2635016995146242,0.13412391983820554
2008-2024,14,Lambayeque,49341,12823300.017237674,0.8304383076819426,0.643530002841184,47.63994616630704,35.517536580107695,0.17792067997104305,0.1776155583290981,14667.800886115565,13440.638516893167,0.2982170814397863,0.2926665172939815,0.1555094018286508,0.14478195910491476,0.1869083048407586,12.122409586199346,-0.00030512164194496094,1227.1623692223984,-0.005550564145804793,-0.010727442723736047,0.7749281275782085,0.745541072949977,0.9163363084384366,0.9982850692679759,0.9813875043005358,19288,5047571.875065882,0.43436353982675646,0.5941514304414509,0.12445201158351614,0.6619315063889561,0.612997844731231,37.096894968470245,33.25811590327836,0.1318992605300076,0.27621983285409796,13541.793872935821,13908.032065161555,-0.04893366165772517,-3.8387790651918863,0.14432057232409035,366.23819222573366,-0.04787072561006178,-0.05195244977648383,0.004081724166422052,1532.212821336776,962.040337927634,570.1724834091419,-6.772,-79.84,13826,4682,9144,0.33863734992043976,0.6613626500795603,0.5120297462817148,0.08574739281575898,0.08518086347724621,0.16666666666666666,0.37924429740553717,0.07017543859649122,0.010704469839432953,-0.25288995710468076,0.2532130399552934
2008-2024,15,Lima,150256,108287783.75412646,0.8097592328747911,0.6284837511154321,47.547485078505225,40.460549647402885,0.15621383944270395,0.1632116008675208,24605.32160153557,23559.56688902234,0.4182910939774102,0.41852317717304377,0.24539705905697706,0.22833993953966575,0.18127548175935904,7.08693543110234,0.00699776142481684,1045.7547125132296,0.00023208319563355895,-0.017057119517311314,0.7761365670190651,0.8509503621610867,0.957498839907544,1.044796040157399,1.000554836569497,57436,41840262.6054722,0.36936248907190683,0.463626745363351,0.07937457740228068,0.66859125277828,0.5901054497236359,41.27385361514668,39.68454766424217,0.1220889591177423,0.2769065575443792,24047.071221850445,22694.412563101196,-0.07848580305464414,-1.5893059509045102,0.1548175984266369,-1352.6586587492493,-0.04575780114780126,-0.0899120266511707,0.04415422550336945,170.3958010978713,371.320081934271,-200.9242808363997,-12.046,-77.043,3904,1196,2708,0.30635245901639346,0.6936475409836066,0.44165435745937964,0.05860805860805861,0.056179775280898875,0.16666666666666666,0.35520504731861197,0.17142857142857143,0.00819672131147541,-0.24774440040833484,0.19130924816543543
2008-2024,16,Loreto,53078,9610385.774934694,0.8229742839042163,0.6862637064434055,38.07373347003988,33.75968220642891,0.33778062790044755,0.32475806830779363,10137.635490729908,10404.425480033018,0.21795632792401284,0.19521952648939833,0.10130676953833867,0.08506115250078977,0.13671057746081083,4.3140512636109705,-0.013022559592653915,-266.7899893031099,-0.022736801434614512,-0.0162456170375489,0.8338823215565723,0.8866921924794771,1.026316786547225,0.9614466949345242,0.8956818475922326,20531,3742882.8469912363,0.6310942449370488,1.0147765237890718,0.267640459580273,0.716566588180522,0.6518046091774897,36.12262522387405,31.770322008602314,0.18760471255312006,0.4361992264978692,12002.41324988609,9505.501702748763,-0.06476197900303227,-4.352303215271739,0.24859451394474913,-2496.911547137328,-0.027600829018787243,-0.06821866511907759,0.04061783610029035,522.3660798675301,-984.6490995125232,1507.0151793800533,-3.749,-73.253,842,270,572,0.32066508313539194,0.6793349168646081,0.47202797202797203,0.03278688524590164,0.01818181818181818,0.16666666666666666,0.3901639344262295,0.2608695652173913,0.004750593824228029,-0.2878781978894903,0.10224650880388586
2008-2024,17,Madre de Dios,22725,1411865.6439239653,0.8689409682677274,0.7031328132113425,46.84524667699009,44.02693732130915,0.060345828913386135,0.06453755307357835,12855.168201814522,12592.47231065434,0.29758104955965037,0.30096322806073794,0.15980795256883032,0.14832588400093674,0.1658081550563849,2.818309355680938,0.0041917241601922145,262.6958911601814,0.003382178501087574,-0.011482068567893577,0.809183637195826,0.9398378799216514,0.9795649588526503,1.0694617049043864,1.0113655708456315,9137,579938.3625471434,0.5031857121356224,0.6470295817584565,0.12031148829788152,0.7366438739998292,0.6566040280524068,45.01654981695325,42.69351288785174,0.0306341513079175,0.10312545224573157,12600.542919298328,12995.666913708124,-0.08003984594742242,-2.3230369291015123,0.07249130093781407,395.12399440979607,-0.027508534996371514,-0.10518937078654167,0.07768083579017016,354.29319468520407,1518.9324428287673,-1164.6392481435632,-12.593,-69.189,1440,416,1024,0.28888888888888886,0.7111111111111111,0.40625,0.04672897196261682,0.039603960396039604,0.16666666666666666,0.3435804701627486,0.2826086956521739,0.006944444444444444,-0.24215991692627203,0.16175413371675054
2008-2024,18,Moquegua,28661,1976706.8170983936,0.8004229846021476,0.6732464271651563,43.75640276985899,37.2030914049797,0.09590281170376956,0.10337494430575488,18798.059952713258,17235.955032256923,0.45280094729405745,0.410179679570805,0.21369365009372934,0.20897426361107113,0.1271765574369913,6.553311364879285,0.007472132601985315,1562.104920456335,-0.042621267723252476,-0.004719386482658211,0.8411133114821725,0.8502319443545884,0.9169007373959958,1.0779135926177608,0.9058719554851694,10562,733779.3917033789,0.35175145553812115,0.42677439925630456,0.06543689234747083,0.6772963761412304,0.6098261023560474,37.439564875129776,34.661308413033574,0.08320519729396926,0.15017380888964585,17578.641670564157,18687.189183767005,-0.067470273785183,-2.778256462096202,0.06696861159567659,1108.5475132028478,-0.02134443022894439,-0.10928471311572518,0.0879402828867808,2307.9495782819286,317.1405261320433,1990.8090521498852,-17.194,-70.934,2038,552,1486,0.27085377821393525,0.7291462217860648,0.3714670255720054,0.046357615894039736,0.041379310344827586,0.16666666666666666,0.31722428748451054,0.2765957446808511,0.0068694798822374874,-0.2244961623198955,0.1711536615798061
2008-2024,19,Pasco,29940,3054965.323368041,0.8386837009065646,0.72953419739045,42.865936005062395,33.17736771395459,0.3485132458407366,0.3560010093853522,10485.178579668247,9678.714169766521,0.29950504028505553,0.30007902357830685,0.17365363000030873,0.16929362021746072,0.10914950351611463,9.688568291107806,0.0074877635446155555,806.464409901726,0.0005739832932513123,-0.004360009782848007,0.8698561765321886,0.7739797798894767,0.9230852957082165,1.0214848750627898,1.0019164395120197,11746,1195677.7687807542,0.4375942127128478,0.5507279626933803,0.09814885527601568,0.725029845399487,0.693484855053979,34.46506669846381,31.731104403490793,0.2867329022502902,0.4919470800581297,10793.187758020049,9178.61494531745,-0.03154499034550795,-2.733962294973015,0.20521417780783952,-1614.5728127025995,-0.04058092733711227,-0.042849530921079904,0.002268603583967632,-52.10027755695228,-641.226924813719,589.1266472567668,-10.686,-76.262,4992,1402,3590,0.280849358974359,0.7191506410256411,0.3905292479108635,0.042042042042042045,0.039755351681957186,0.16666666666666666,0.3224096385542169,0.12244897959183673,0.005608974358974359,-0.23880731693231694,0.1496960583979129
2008-2024,20,Piura,55351,18449872.424675155,0.8665635684554319,0.6968592351987103,42.40916064536932,31.934653633847546,0.2810262406177814,0.28262616317195816,13008.675440100405,12246.29325699799,0.25628015459381565,0.2578964756259651,0.10963060679105437,0.105159490294626,0.16970433325672163,10.474507011521773,0.001599922554176736,762.3821831024161,0.0016163210321494814,-0.004471116496428368,0.8041640112343937,0.75301310254379,0.9413943266850747,1.0056931429273637,1.0063068521037504,21472,7177379.71107336,0.47137298790030596,0.630191198162991,0.12976506791216827,0.7173830822754377,0.6648560327503443,33.57484457147601,30.37091293289037,0.22033850719255343,0.388819901112197,12496.067729880038,12511.21306476186,-0.05252704952509335,-3.2039316385856367,0.16848139391964356,15.145334881821327,-0.0248455816105696,-0.06470508340881564,0.039859501798246044,1104.9000847662828,548.4029930253819,556.4970917409009,-5.194,-80.632,7460,1776,5684,0.23806970509383377,0.7619302949061663,0.3124560168895144,0.019855595667870037,0.01824817518248175,0.16666666666666666,0.2805755395683453,0.19101123595505617,0.0029490616621983914,-0.21821410942596373,0.08340244576706672
2008-2024,21,Puno,34735,14645018.281069579,0.8511441747049348,0.8175633550844852,36.77860465228676,33.17191485953631,0.3293197422718202,0.3532463337110286,9355.92736922159,8468.754445514896,0.3235238252178338,0.24248141709081303,0.19666054293031984,0.143706638391485,0.033580819620449565,3.6066897927504513,0.02392659143920839,887.1729237066938,-0.08104240812702077,-0.052953904538834834,0.9605462615871265,0.9019351107294876,0.9051753087967264,1.07265459177804,0.7495009584766945,12968,5636211.443106073,0.3486945938803072,0.43195099951653565,0.07149565774221009,0.8033697272051367,0.776900664785987,33.62133448927116,31.799235434054644,0.2971545064859759,0.4740736841674903,9404.745982628223,8208.848541888176,-0.026469062419149703,-1.822099055216519,0.17691917768151438,-1195.8974407400474,0.02970471872403757,-0.061257039685090886,0.09096175840912846,-277.33789006781444,-189.00710333544157,-88.33078673237287,-15.84,-70.028,5306,1528,3778,0.28797587636637767,0.7120241236336223,0.40444679724722077,0.07142857142857142,0.06476683937823834,0.5,0.32702952029520294,0.2608695652173913,0.010554089709762533,-0.21654730493780625,0.24803664921465968
